Length,Weight
475,1403
560,2542
536,1760
570,2494
600,2380
491,1497
608,2764
564,2232
568,2343
559,1904
476,
525,1762
496,1280
543,1723
478,1203
521,2112
549,2340
532,1868
599,2640
600,2743
553,2110
510,1873
483,1434
611,2923
566,2230
514,1759
513,1937
601,2818
562,2469
651,4365
460,1327
557,2007
608,2974
465,1329
544,1684
529,1725
465,1191
481,1456
534,1784
505,1670
559,2232
517,1862
512,1923
565,2319
545,1856
501,1867
524,1938
518,1759
566,2358
511,1984
509,1840
570,2479
531,1937
525,1721
550,1701
666,3581
641,3762
496,1468
589,2984
472,1599
545,1914
479,1558
493,1737
528,1835
532,1972
564,2513
478,1631
487,1914
506,1544
513,1576
583,2315
546,2120
527,1796
676,3935
514,1722
591,2488
451,1335
480,1253
469,1232
505,1850
509,1609
505,1779
508,1682
512,1735
602,3017
527,1916
611,2530
521,1597
498,1484
510,1810
625,3186
631,2751
494,1631
576,1957
511,1751
652,3998
545,2294
441,1071
484,1646
494,1643
485,1482
601,2390
630,3044
545,2031
475,1248
500,1546
523,1705
534,1778
515,1531
636,3761
633,2614
650,3317
534,1997
631,2992
490,1409
688,2555
586,2439
586,2852
495,1597
527,2022
606,2638
515,1672
515,1736
556,2269
505,1337
516,1701
529,1999
525,1990
550,2134
454,1284
585,2723
531,1987
540,2106
469,1391
616,2943
536,1843
638,3231
447,1162
645,2897
605,2972
528,1863
620,2766
462,1291
504,1493
522,1803
601,2803
471,1373
510,1554
573,2425
530,1803
711,4789
519,1823
481,1348
466,1114
594,2765
496,1430
630,2690
670,4643
564,2134
585,2401
602,2885
454,1332
508,1637
543,1850
671,3481
579,2536
509,1830
539,1882
511,1840
514,1740
706,4908
515,
596,2378
587,2781
519,1718
535,1958
509,1708
532,1882
509,1525
656,3415
557,1864
495,1736
586,2146
502,1503
528,1800
519,1597
466,1030
509,1684
640,3462
545,2209
505,1735
508,1847
615,2728
549,2094
538,1839
510,1874
456,1276
513,1788
551,1953
506,2028
535,1897
504,1685
596,2876
569,2384
465,1373
