ID_new,ID,Year,Cohort,TL,Est.Age,BC.Age,BC.Len,Growth.Year,Growth
20161,1,2016,2012,619,four,1,178.51,2012,178.51
20161,1,2016,2012,619,four,2,404.08,2013,225.57
20161,1,2016,2012,619,four,3,505.5,2014,101.42
20161,1,2016,2012,619,four,4,564.63,2015,59.13
20171,1,2017,2015,534,two,1,198.79,2015,198.79
20171,1,2017,2015,534,two,2,396.94,2016,198.15
20181,1,2018,2016,546,two,1,286.28,2016,286.28
20181,1,2018,2016,546,two,2,406.88,2017,120.6
20162,2,2016,2014,502,two,1,259.69,2014,259.69
20162,2,2016,2014,502,two,2,411.19,2015,151.5
20172,2,2017,2014,437,three,1,120.91,2014,120.91
20172,2,2017,2014,437,three,2,343.89,2015,222.98
20172,2,2017,2014,437,three,3,410.11,2016,66.22
20182,2,2018,2015,500,three,1,102.68,2015,102.68
20182,2,2018,2015,500,three,2,326.82,2016,224.14
20182,2,2018,2015,500,three,3,419.03,2017,92.21
20163,3,2016,2011,445,five,1,109.15,2011,109.15
20163,3,2016,2011,445,five,2,230.99,2012,121.84
20163,3,2016,2011,445,five,3,282.56,2013,51.57
20163,3,2016,2011,445,five,4,339.93,2014,57.37
20163,3,2016,2011,445,five,5,387.63,2015,47.7
20173,3,2017,2013,460,four,1,126.24,2013,126.24
20173,3,2017,2013,460,four,2,285.5,2014,159.26
20173,3,2017,2013,460,four,3,376.75,2015,91.25
20173,3,2017,2013,460,four,4,422.29,2016,45.54
20183,3,2018,2016,515,two,1,299.45,2016,299.45
20183,3,2018,2016,515,two,2,410.47,2017,111.02
20164,4,2016,2012,538,four,1,240.77,2012,240.77
20164,4,2016,2012,538,four,2,373.56,2013,132.79
20164,4,2016,2012,538,four,3,450.94,2014,77.38
20164,4,2016,2012,538,four,4,505.99,2015,55.05
20174,4,2017,2011,695,six,1,162.47,2011,162.47
20174,4,2017,2011,695,six,2,348.01,2012,185.54
20174,4,2017,2011,695,six,3,431.34,2013,83.33
20174,4,2017,2011,695,six,4,509.46,2014,78.12
20174,4,2017,2011,695,six,5,578.16,2015,68.7
20174,4,2017,2011,695,six,6,634.56,2016,56.4
20184,4,2018,2015,624,three,1,136.94,2015,136.94
20184,4,2018,2015,624,three,2,348.61,2016,211.67
20184,4,2018,2015,624,three,3,583.98,2017,235.37
20165,5,2016,2013,614,three,1,238.24,2013,238.24
20165,5,2016,2013,614,three,2,432.73,2014,194.49
20165,5,2016,2013,614,three,3,542.36,2015,109.63
20175,5,2017,2014,444,three,1,130.05,2014,130.05
20175,5,2017,2014,444,three,2,369.29,2015,239.24
20175,5,2017,2014,444,three,3,413.19,2016,43.9
20185,5,2018,2014,544,four,1,119.59,2014,119.59
20185,5,2018,2014,544,four,2,407.27,2015,287.68
20185,5,2018,2014,544,four,3,460.16,2016,52.89
20185,5,2018,2014,544,four,4,502.4,2017,42.24
20166,6,2016,2010,460,six,1,72.99,2010,72.99
20166,6,2016,2010,460,six,2,275.19,2011,202.2
20166,6,2016,2010,460,six,3,343.94,2012,68.75
20166,6,2016,2010,460,six,4,379.93,2013,35.99
20166,6,2016,2010,460,six,5,407.43,2014,27.5
20166,6,2016,2010,460,six,6,436.75,2015,29.32
20176,6,2017,2013,490,four,1,86.47,2013,86.47
20176,6,2017,2013,490,four,2,326.11,2014,239.64
20176,6,2017,2013,490,four,3,427.83,2015,101.72
20176,6,2017,2013,490,four,4,467.21,2016,39.38
20186,6,2018,2014,602,four,1,133.99,2014,133.99
20186,6,2018,2014,602,four,2,367.74,2015,233.75
20186,6,2018,2014,602,four,3,481.43,2016,113.69
20186,6,2018,2014,602,four,4,559.17,2017,77.74
20167,7,2016,2012,582,four,1,340.96,2012,340.96
20167,7,2016,2012,582,four,2,466.58,2013,125.62
20167,7,2016,2012,582,four,3,526.02,2014,59.44
