ID_new,ID,Year,Site_Name,Age,TL,W_g,logW,logL,W_lb
201621,21,2016,CARP3,2,468,1300,3.113943352,2.670245853,2.866006
201652,52,2016,MATT69,2,417,954,2.979548375,2.620136055,2.10320748
201666,66,2016,MC2,2,590,2523,3.401917251,2.770852012,5.56225626
201681,81,2016,CARP1,2,458,454,2.656665386,2.660865478,1
201691,91,2016,MATT78,2,510,1672,3.223236273,2.707570176,3.68612464
201692,92,2016,MATT39,2,436,904,2.95616843,2.639486489,1.99297648
2016103,103,2016,MATT30,2,450,1207,3.08170727,2.653212514,2.66097634
2016115,115,2016,MATT29,2,585,2647,3.422753941,2.767155866,5.83562914
2016116,116,2016,MATT29,2,530,1867,3.271144318,2.72427587,4.11602554
2016135,135,2016,MATT9,2,483,1705,3.231724383,2.683947131,3.7588771
2016141,141,2016,MATT14,2,426,1137,3.055760465,2.629409599,2.50665294
2016171,171,2016,MATT18,2,659,3175,3.50174373,2.818885415,6.9996685
2016176,176,2016,MATT5,2,548,2314,3.364363355,2.738780558,5.10149068
2016189,189,2016,RB5,2,691,3914,3.592620821,2.839478047,8.62888268
20171,1,2017,Jarvis Canal,2,534,1772,3.248463718,2.727541257,3.90658664
201716,16,2017,RB7,2,500,1136,3.055378331,2.698970004,2.50444832
201722,22,2017,RB5,2,525,1587,3.200576927,2.720159303,3.49873194
201724,24,2017,RB5,2,610,2865,3.457124626,2.785329835,6.3162363
201728,28,2017,MATT68,2,481,1444,3.159567193,2.682145076,3.18347128
201730,30,2017,"""NORTH CULVERT"" EAST SIDE",2,489,1111,3.045714059,2.689308859,2.44933282
201735,35,2017,"""EAST PIER CULVERT"" EAST SIDE",2,430,1042,3.017867719,2.633468456,2.29721404
201741,41,2017,MATT49,2,355,636,2.803457116,2.550228353,1.40213832
201742,42,2017,MATT49,2,400,754,2.877371346,2.602059991,1.66228348
201743,43,2017,MATT49,2,474,1199,3.078819183,2.675778342,2.64333938
201747,47,2017,MATT37,2,445,1143,3.05804623,2.648360011,2.51988066
201754,54,2017,MC7,2,558,1875,3.273001272,2.746634199,4.1336625
201755,55,2017,MC7,2,574,2409,3.3818368,2.758911892,5.31092958
201756,56,2017,MC7,2,496,1514,3.180125875,2.695481676,3.33779468
201759,59,2017,MC7,2,432,1102,3.042181595,2.635483747,2.42949124
201775,75,2017,MC2,2,500,1616,3.208441356,2.698970004,3.56266592
201793,93,2017,RB4,2,497,1602,3.204662512,2.696356389,3.53180124
20182,2,2018,Jarvis,2,500,1500,3.176091259,2.698970004,3.30693
20183,3,2018,Jarvis,2,515,2000,3.301029996,2.711807229,4.40924
20188,8,2018,Jarvis,2,550,2000,3.301029996,2.740362689,4.40924
201814,14,2018,Jarvis,2,504,1500,3.176091259,2.702430536,3.30693
201816,16,2018,Jarvis,2,509,1500,3.176091259,2.706717782,3.30693
201817,17,2018,Jarvis,2,523,1500,3.176091259,2.718501689,3.30693
201872,72,2018,MC2,2,495,1386,3.14176323,2.694605199,3.05560332
201874,74,2018,MC3,2,530,1768,3.247482261,2.72427587,3.89776816
20165,5,2016,MC3,3,614,2890,3.460897843,2.788168371,6.3713518
201610,10,2016,MC4,3,443,1083,3.034628457,2.646403726,2.38760346
201611,11,2016,RB4,3,512,1662,3.220631019,2.709269961,3.66407844
201616,16,2016,MATT78,3,484,1478,3.169674434,2.684845362,3.25842836
201617,17,2016,MATT78,3,495,1318,3.11991541,2.694605199,2.90568916
201619,19,2016,MATT78,3,479,1068,3.028571253,2.680335513,2.35453416
201620,20,2016,MATT78,3,510,1521,3.182129214,2.707570176,3.35322702
201622,22,2016,CARP3,3,443,1000,3,2.646403726,2.20462
201624,24,2016,CARP4,3,473,1200,3.079181246,2.674861141,2.645544
201627,27,2016,CARP4,3,447,1000,3,2.650307523,2.20462
201637,37,2016,CARP 3,3,439,408,2.610907896,2.64246452,0.9
201638,38,2016,CARP 3,3,456,454,2.656665386,2.658964843,1
201639,39,2016,CARP 3,3,454,499,2.698058071,2.657055853,1.1
201640,40,2016,CARP 3,3,497,680,2.832756645,2.696356389,1.5
201641,41,2016,MC4,3,623,2796,3.446537167,2.794488047,6.16411752
201644,44,2016,MC4,3,470,1232,3.090610708,2.672097858,2.71609184
201648,48,2016,MATT78,3,490,1269,3.103461622,2.69019608,2.79766278
201650,50,2016,MATT39,3,436,995,2.997823081,2.639486489,2.1935969
201655,55,2016,MATT67,3,486,1401,3.146438135,2.686636269,3.08867262
201656,56,2016,MATT67,3,599,2357,3.372359583,2.777426822,5.19628934
201658,58,2016,MATT32,3,516,1690,3.227886705,2.712649702,3.7258078
201659,59,2016,MATT30,3,479,1672,3.223236273,2.680335513,3.68612464
201661,61,2016,MC2,3,515,1478,3.169674434,2.711807229,3.25842836
201667,67,2016,MC2,3,509,1604,3.205204364,2.706717782,3.53621048
201669,69,2016,MC2,3,573,2473,3.393224116,2.758154622,5.45202526
201671,71,2016,CARP2,3,497,544,2.735846632,2.696356389,1.2
201675,75,2016,CARP2,3,426,363,2.559755373,2.629409599,0.8
201677,77,2016,CARP2,3,461,499,2.698058071,2.663700925,1.1
201678,78,2016,CARP3,3,470,544,2.735846632,2.672097858,1.2
201679,79,2016,CARP3,3,453,499,2.698058071,2.656098202,1.1
201682,82,2016,CARP1,3,578,816,2.911937891,2.761927838,1.8
201686,86,2016,CARP1,3,541,907,2.957695382,2.733197265,2
201688,88,2016,CARP1,3,457,454,2.656665386,2.6599162,1
201689,89,2016,CARP1,3,438,499,2.698058071,2.641474111,1.1
201694,94,2016,MATT69,3,436,1045,3.01911629,2.639486489,2.3038279
201695,95,2016,MATT69,3,435,932,2.969415912,2.638489257,2.05470584
201697,97,2016,MATT78,3,548,1913,3.28171497,2.738780558,4.21743806
201698,98,2016,MATT78,3,499,1502,3.176669933,2.698100546,3.31133924
2016101,101,2016,MATT30,3,558,2243,3.350829274,2.746634199,4.94496266
2016105,105,2016,MATT30,3,482,1639,3.214578954,2.683047038,3.61337218
2016109,109,2016,MATT29,3,658,3620,3.558708571,2.818225894,7.9807244
2016110,110,2016,MATT29,3,570,2321,3.36567514,2.755874856,5.11692302
2016112,112,2016,MATT29,3,457,1243,3.094471129,2.6599162,2.74034266
2016117,117,2016,MATT29,3,449,1219,3.086003706,2.652246341,2.68743178
2016118,118,2016,MATT29,3,489,1802,3.255754787,2.689308859,3.97272524
2016120,120,2016,MATT29,3,450,1250,3.096910013,2.653212514,2.755775
2016125,125,2016,MATT29,3,486,1503,3.176958981,2.686636269,3.31354386
2016127,127,2016,MATT9,3,605,3071,3.487279816,2.781755375,6.77038802
2016130,130,2016,MATT9,3,363,719,2.85672889,2.559906625,1.58512178
2016134,134,2016,MATT9,3,525,2153,3.33304403,2.720159303,4.74654686
2016138,138,2016,MATT34,3,516,1824,3.261024834,2.712649702,4.02122688
2016153,153,2016,MATT18,3,617,3051,3.484442208,2.790285164,6.72629562
2016160,160,2016,MATT18,3,493,1424,3.153509989,2.692846919,3.13937888
2016179,179,2016,MATT57,3,444,1084,3.035029282,2.64738297,2.38980808
2016183,183,2016,RB2,3,540,2056,3.31302311,2.73239376,4.53269872
2016185,185,2016,RB2,3,644,3130,3.495544338,2.808885867,6.9004606
20175,5,2017,CENTRAL CANAL,3,444,1015,3.006466042,2.64738297,2.2376893
20177,7,2017,MATT29,3,505,1400,3.146128036,2.703291378,3.086468
20179,9,2017,MATT29,3,500,792,2.898725182,2.698970004,1.74605904
201710,10,2017,MATT29,3,630,2462,3.391288049,2.799340549,5.42777444
201714,14,2017,MATT32,3,480,1326,3.122543524,2.681241237,2.92332612
201720,20,2017,RB6,3,591,2502,3.398287305,2.771587481,5.51595924
201721,21,2017,RB6,3,579,2694,3.430397591,2.762678564,5.93924628
201725,25,2017,RB5,3,511,1614,3.20790353,2.7084209,3.55825668
201726,26,2017,RB5,3,654,3262,3.513483957,2.815577748,7.19147044
201727,27,2017,RB5,3,595,2558,3.40790054,2.774516966,5.63941796
201732,32,2017,"""NORTH CULVERT"" EAST SIDE",3,491,1243,3.094471129,2.691081492,2.74034266
201733,33,2017,"""NORTH CULVERT"" EAST SIDE",3,451,1339,3.126780577,2.654176542,2.95198618
201739,39,2017,MATT49,3,418,1039,3.016615548,2.621176282,2.29060018
201740,40,2017,MATT49,3,370,782,2.893206753,2.568201724,1.72401284
201745,45,2017,MATT52,3,441,1118,3.048441804,2.644438589,2.46476516
201748,48,2017,MATT37,3,436,972,2.987666265,2.639486489,2.14289064
201750,50,2017,MC7,3,371,691,2.839478047,2.56937391,1.52339242
201753,53,2017,MC7,3,496,1244,3.09482038,2.695481676,2.74254728
201760,60,2017,MC6,3,445,1100,3.041392685,2.648360011,2.425082
201762,62,2017,MC6,3,469,1442,3.15896526,2.671172843,3.17906204
201763,63,2017,MC6,3,524,1624,3.210586025,2.719331287,3.58030288
201764,64,2017,MC6,3,486,1316,3.119255889,2.686636269,2.90127992
201766,66,2017,MC4,3,505,1538,3.186956335,2.703291378,3.39070556
201768,68,2017,MC2,3,509,1408,3.148602655,2.706717782,3.10410496
201770,70,2017,MC2,3,621,2889,3.460747542,2.7930916,6.36914718
201774,74,2017,MC2,3,550,2127,3.32776749,2.740362689,4.68922674
201795,95,2017,RB3,3,610,2726,3.435525851,2.785329835,6.00979412
20181,1,2018,Jarvis,3,546,2000,3.301029996,2.737192643,4.40924
20184,4,2018,Jarvis,3,624,2500,3.397940009,2.79518459,5.51155
20189,9,2018,Jarvis,3,469,1000,3,2.671172843,2.20462
201811,11,2018,Jarvis,3,460,500,2.698970004,2.662757832,1.10231
201812,12,2018,Jarvis,3,526,1500,3.176091259,2.720985744,3.30693
201813,13,2018,Jarvis,3,497,1100,3.041392685,2.696356389,2.425082
201815,15,2018,Jarvis,3,492,1500,3.176091259,2.691965103,3.30693
201818,18,2018,Jarvis,3,600,1500,3.176091259,2.77815125,3.30693
201820,20,2018,Jarvis,3,550,2000,3.301029996,2.740362689,4.40924
201822,22,2018,Jarvis,3,450,1000,3,2.653212514,2.20462
201823,23,2018,Jarvis,3,576,2000,3.301029996,2.760422483,4.40924
